 shot  ray#     dist   amplitude     phase  code
   -1   23    19.304   0.439E-01      0.00   2.1
   -1   24    19.190   0.442E-01      0.00   2.1
   -1   25    19.072   0.444E-01      0.00   2.1
   -1   26    18.969   0.446E-01      0.00   2.1
   -1   27    18.865   0.447E-01      0.00   2.1
   -1   28    18.759   0.449E-01      0.00   2.1
   -1   29    18.650   0.451E-01      0.00   2.1
   -1   30    18.543   0.452E-01      0.00   2.1
   -1   31    18.444   0.454E-01      0.00   2.1
   -1   32    18.343   0.456E-01      0.00   2.1
   -1   33    18.240   0.459E-01      0.00   2.1
   -1   34    18.137   0.461E-01      0.00   2.1
   -1   35    18.045   0.463E-01      0.00   2.1
   -1   36    17.951   0.464E-01      0.00   2.1
   -1   37    17.856   0.466E-01      0.00   2.1
   -1   38    17.758   0.467E-01      0.00   2.1
   -1   39    17.663   0.468E-01      0.00   2.1
   -1   40    17.575   0.469E-01      0.00   2.1
   -1   41    17.485   0.470E-01      0.00   2.1
   -1   42    17.394   0.470E-01      0.00   2.1
   -1   43    17.301   0.471E-01      0.00   2.1
   -1   44    17.206   0.471E-01      0.00   2.1
   -1   45    17.121   0.471E-01      0.00   2.1
   -1   46    17.035   0.472E-01      0.00   2.1
   -1   47    16.948   0.472E-01      0.00   2.1
   -1   48    16.859   0.471E-01      0.00   2.1
   -1   49    16.769   0.471E-01      0.00   2.1
   -1   50    16.679   0.471E-01      0.00   2.1
   -1   51    16.596   0.472E-01      0.00   2.1
   -1   52    16.511   0.472E-01      0.00   2.1
   -1   53    16.425   0.472E-01      0.00   2.1
   -1   54    16.338   0.472E-01      0.00   2.1
   -1   55    16.251   0.471E-01      0.00   2.1
   -1   56    16.171   0.471E-01      0.00   2.1
   -1   57    16.089   0.470E-01      0.00   2.1
   -1   58    16.006   0.469E-01      0.00   2.1
   -1   59    15.921   0.469E-01      0.00   2.1
   -1   60    15.835   0.468E-01      0.00   2.1
   -1    1    16.188   0.360E-01    179.49   2.2
   -1    2    19.881   0.450E-01    170.95   2.2
   -1    3    21.029   0.598E-01    164.83   2.2
   -1    4    21.784   0.752E-01    157.98   2.2
   -1    5    22.365   0.880E-01    149.71   2.2
   -1    6    22.838   0.989E-01    139.63   2.2
   -1    7    23.241   0.110E+00    127.01   2.2
   -1    8    23.597   0.121E+00    110.82   2.2
   -1    9    23.918   0.128E+00     89.35   2.2
   -1   10    24.213   0.121E+00     58.13   2.2
   -1   11    24.484   0.968E-01      0.00   2.2
   -1   12    24.737   0.686E-01      0.00   2.2
   -1   13    24.976   0.497E-01      0.00   2.2
   -1   14    25.202   0.413E-01      0.00   2.2
   -1   15    25.418   0.388E-01      0.00   2.2
   -1   16    25.624   0.388E-01      0.00   2.2
   -1   17    25.823   0.401E-01      0.00   2.2
   -1   18    26.016   0.422E-01      0.00   2.2
   -1   19    26.202   0.447E-01      0.00   2.2
   -1   20    26.384   0.475E-01      0.00   2.2
   -1   21    26.561   0.503E-01      0.00   2.2
   -1   22    26.734   0.532E-01      0.00   2.2
   -1   23    26.904   0.559E-01      0.00   2.2
   -1   24    27.071   0.585E-01      0.00   2.2
   -1   25    27.236   0.608E-01      0.00   2.2
