 shot  ray#     dist   amplitude     phase  code
    1   16    19.590   0.383E-04      0.00   3.1
    1   17    20.424   0.370E-04      0.00   3.1
    1   18    21.196   0.356E-04      0.00   3.1
    1   19    21.891   0.342E-04      0.00   3.1
    1   20    22.962   0.332E-04      0.00   3.1
    1    1    13.171   0.483E-04      0.00   4.1
    1    2    13.465   0.790E-04      0.00   4.1
    1    3    13.822   0.133E-03      0.00   4.1
    1    4    14.150   0.198E-03      0.00   4.1
    1    5    14.495   0.270E-03      0.00   4.1
    1    6    14.857   0.355E-03      0.00   4.1
    1    7    15.171   0.467E-03      0.00   4.1
    1    8    15.462   0.607E-03      0.00   4.1
    1    9    15.703   0.760E-03      0.00   4.1
    1   10    15.955   0.917E-03      0.00   4.1
    1   11    16.210   0.107E-02      0.00   4.1
    1   12    16.475   0.119E-02      0.00   4.1
    1   13    16.751   0.129E-02      0.00   4.1
    1   14    17.036   0.136E-02      0.00   4.1
    1   15    17.324   0.145E-02      0.00   4.1
    1   16    17.626   0.161E-02      0.00   4.1
    1   17    17.961   0.183E-02      0.00   4.1
    1   18    18.191   0.205E-02      0.00   4.1
    1   19    18.426   0.221E-02      0.00   4.1
    1   20    18.665   0.230E-02      0.00   4.1
    1    1     9.245   0.124E-04      0.00   5.1
    1    2    10.602   0.403E-04      0.00   5.1
    1    3    10.912   0.923E-04      0.00   5.1
    1    4    11.225   0.150E-03      0.00   5.1
    1    5    11.528   0.199E-03      0.00   5.1
    1    6    11.816   0.238E-03      0.00   5.1
    1    7    12.143   0.271E-03      0.00   5.1
    1    8    12.545   0.327E-03      0.00   5.1
    1    9    12.901   0.457E-03      0.00   5.1
    1   10    13.301   0.682E-03      0.00   5.1
    1   11    13.485   0.907E-03      0.00   5.1
    1   12    13.667   0.103E-02      0.00   5.1
    1   13    13.856   0.110E-02      0.00   5.1
    1   14    14.045   0.119E-02      0.00   5.1
    1   15    14.267   0.134E-02      0.00   5.1
    1   16    14.435   0.151E-02      0.00   5.1
    1   17    14.607   0.163E-02      0.00   5.1
    1   18    14.779   0.172E-02      0.00   5.1
    1   19    14.955   0.182E-02      0.00   5.1
    1   20    15.127   0.188E-02      0.00   5.1
    1    1     8.965   0.286E-02      0.00   6.1
    1    2     9.165   0.556E-02      0.00   6.1
    1    3     9.289   0.898E-02      0.00   6.1
    1    4     9.412   0.119E-01      0.00   6.1
    1    5     9.531   0.143E-01      0.00   6.1
    1    6     9.647   0.165E-01      0.00   6.1
    1    7     9.759   0.185E-01      0.00   6.1
    1    8     9.869   0.206E-01      0.00   6.1
