 shot  ray#     dist   amplitude     phase  code
    1    9    13.008   0.509E-01      0.00   3.2
    1   10    12.832   0.537E-01      0.00   3.2
    1    1    15.314   0.224E-01      0.00   4.1
    1    2    15.641   0.783E-01      0.00   4.1
    1    3    15.757   0.126E+00      0.00   4.1
    1    4    15.842   0.162E+00      0.00   4.1
    1    5    15.910   0.196E+00      0.00   4.1
    1    6    15.969   0.221E+00      0.00   4.1
    1    7    16.022   0.236E+00      0.00   4.1
    1    8    16.071   0.243E+00      0.00   4.1
    1    9    16.116   0.248E+00      0.00   4.1
    1   10    16.159   0.250E+00      0.00   4.1
    1    1    16.152   0.111E+00    180.00   4.2
    1    2    15.618   0.880E-01    180.00   4.2
    1    3    15.192   0.751E-01    180.00   4.2
    1    4    14.813   0.560E-01    180.00   4.2
    1    5    14.458   0.387E-01    180.00   4.2
    1    6    14.119   0.345E-01    180.00   4.2
    1    7    13.795   0.454E-01    180.00   4.2
    1    8    13.481   0.707E-01    180.00   4.2
    1    9    13.167   0.996E-01    180.00   4.2
    1   10    12.834   0.117E+00    180.00   4.2
    1    1    16.016   0.734E-01     81.78   5.2
    1    2    15.685   0.122E+00     63.63   5.2
    1    3    15.298   0.104E+00      0.00   5.2
    1    4    14.918   0.594E-01      0.00   5.2
    1    5    14.551   0.340E-01      0.00   5.2
    1    6    14.200   0.252E-01      0.00   5.2
    1    7    13.864   0.290E-01      0.00   5.2
    1    8    13.539   0.425E-01      0.00   5.2
    1    9    13.218   0.598E-01      0.00   5.2
    1   10    12.887   0.712E-01      0.00   5.2
    1    1    16.016   0.734E-01     81.78   5.2
    1    2    15.685   0.122E+00     63.63   5.2
    1    3    15.298   0.104E+00      0.00   5.2
    1    4    14.918   0.594E-01      0.00   5.2
    1    5    14.551   0.340E-01      0.00   5.2
    1    6    14.200   0.252E-01      0.00   5.2
    1    7    13.864   0.290E-01      0.00   5.2
    1    8    13.539   0.425E-01      0.00   5.2
    1    9    13.218   0.598E-01      0.00   5.2
    1   10    12.887   0.712E-01      0.00   5.2
    1    1    15.452   0.346E-02      0.00   6.1
    1    2    15.673   0.137E-01      0.00   6.1
    1    3    15.886   0.299E-01      0.00   6.1
    1    4    16.090   0.519E-01      0.00   6.1
    1    5    16.238   0.711E-01      0.00   6.1
    1    6    16.441   0.832E-01      0.00   6.1
    1    7    16.630   0.972E-01      0.00   6.1
    1    8    16.811   0.111E+00      0.00   6.1
    1    9    16.990   0.121E+00      0.00   6.1
    1   10    17.171   0.126E+00      0.00   6.1
    1    1    15.452   0.346E-02      0.00   6.1
    1    2    15.673   0.137E-01      0.00   6.1
    1    3    15.886   0.299E-01      0.00   6.1
    1    4    16.090   0.519E-01      0.00   6.1
    1    5    16.238   0.711E-01      0.00   6.1
    1    6    16.441   0.832E-01      0.00   6.1
    1    7    16.630   0.972E-01      0.00   6.1
    1    8    16.811   0.111E+00      0.00   6.1
    1    9    16.990   0.121E+00      0.00   6.1
    1   10    17.171   0.126E+00      0.00   6.1
    1    1    17.169   0.788E-01    179.90   6.2
    1    2    16.240   0.156E+00    135.41   6.2
    1    3    15.641   0.237E+00     69.94   6.2
    1    4    15.148   0.124E+00      0.00   6.2
    1    5    14.716   0.336E-01      0.00   6.2
    1    6    14.319   0.215E-01      0.00   6.2
    1    7    13.946   0.227E-01      0.00   6.2
    1    8    13.587   0.325E-01      0.00   6.2
    1    9    13.230   0.444E-01      0.00   6.2
    1   10    12.843   0.515E-01      0.00   6.2
