 shot  ray#     dist   amplitude     phase  code
   -1    1    26.591   0.878E-04      0.00   6.1
   -1    2    26.458   0.110E-03      0.00   6.1
   -1    3    26.296   0.150E-03      0.00   6.1
   -1    4    26.121   0.201E-03      0.00   6.1
   -1    5    25.954   0.257E-03      0.00   6.1
   -1    6    25.777   0.314E-03      0.00   6.1
   -1    7    25.608   0.371E-03      0.00   6.1
   -1    8    25.431   0.427E-03      0.00   6.1
   -1    9    25.245   0.484E-03      0.00   6.1
   -1   10    25.068   0.543E-03      0.00   6.1
   -1   11    24.891   0.604E-03      0.00   6.1
   -1   12    24.719   0.668E-03      0.00   6.1
   -1   13    24.549   0.735E-03      0.00   6.1
   -1   14    24.379   0.806E-03      0.00   6.1
   -1   15    24.206   0.882E-03      0.00   6.1
   -1   16    24.042   0.962E-03      0.00   6.1
   -1   17    23.869   0.105E-02      0.00   6.1
   -1   18    23.703   0.114E-02      0.00   6.1
   -1   19    23.533   0.123E-02      0.00   6.1
   -1   20    23.364   0.133E-02      0.00   6.1
   -1   21    23.195   0.143E-02      0.00   6.1
   -1   22    23.026   0.153E-02      0.00   6.1
   -1   23    22.854   0.162E-02      0.00   6.1
   -1   24    22.687   0.172E-02      0.00   6.1
   -1   25    22.517   0.181E-02      0.00   6.1
   -1   26    22.348   0.189E-02      0.00   6.1
   -1   27    22.179   0.197E-02      0.00   6.1
   -1   28    22.010   0.204E-02      0.00   6.1
   -1   29    21.840   0.211E-02      0.00   6.1
   -1   30    21.672   0.218E-02      0.00   6.1
   -1   31    21.500   0.224E-02      0.00   6.1
   -1   32    21.331   0.230E-02      0.00   6.1
   -1   33    21.159   0.236E-02      0.00   6.1
   -1   34    20.986   0.242E-02      0.00   6.1
   -1   35    20.816   0.248E-02      0.00   6.1
   -1   36    20.645   0.254E-02      0.00   6.1
   -1   37    20.471   0.260E-02      0.00   6.1
   -1   38    20.301   0.266E-02      0.00   6.1
   -1   39    20.130   0.271E-02      0.00   6.1
   -1   40    19.957   0.277E-02      0.00   6.1
   -1   41    19.785   0.282E-02      0.00   6.1
   -1   42    19.614   0.288E-02      0.00   6.1
   -1   43    19.440   0.293E-02      0.00   6.1
   -1   44    19.267   0.298E-02      0.00   6.1
   -1   45    19.094   0.302E-02      0.00   6.1
   -1   46    18.921   0.307E-02      0.00   6.1
   -1   47    18.747   0.312E-02      0.00   6.1
   -1   48    18.574   0.316E-02      0.00   6.1
   -1   49    18.400   0.320E-02      0.00   6.1
   -1   50    18.225   0.324E-02      0.00   6.1
   -1   51    18.051   0.328E-02      0.00   6.1
   -1   52    17.875   0.331E-02      0.00   6.1
   -1   53    17.701   0.335E-02      0.00   6.1
   -1   54    17.523   0.339E-02      0.00   6.1
   -1   55    17.347   0.342E-02      0.00   6.1
   -1   56    17.172   0.345E-02      0.00   6.1
   -1   57    16.995   0.348E-02      0.00   6.1
   -1   58    16.819   0.351E-02      0.00   6.1
   -1   59    16.642   0.353E-02      0.00   6.1
   -1   60    16.478   0.355E-02      0.00   6.1
   -1   61    16.302   0.357E-02      0.00   6.1
   -1   62    16.109   0.359E-02      0.00   6.1
   -1   63    15.930   0.360E-02      0.00   6.1
   -1   64    15.752   0.362E-02      0.00   6.1
   -1   65    15.572   0.364E-02      0.00   6.1
   -1   66    15.398   0.365E-02      0.00   6.1
   -1   67    15.217   0.365E-02      0.00   6.1
   -1   68    15.044   0.366E-02      0.00   6.1
   -1   69    14.863   0.366E-02      0.00   6.1
   -1   70    14.666   0.367E-02      0.00   6.1
   -1   71    14.483   0.367E-02      0.00   6.1
   -1   72    14.299   0.368E-02      0.00   6.1
   -1   73    14.124   0.368E-02      0.00   6.1
   -1   74    13.940   0.369E-02      0.00   6.1
   -1   75    13.755   0.370E-02      0.00   6.1
   -1   76    13.572   0.371E-02      0.00   6.1
   -1   77    13.385   0.373E-02      0.00   6.1
   -1   78    13.212   0.376E-02      0.00   6.1
   -1   79    13.039   0.379E-02      0.00   6.1
   -1   80    12.864   0.381E-02      0.00   6.1
   -1   81    12.688   0.384E-02      0.00   6.1
   -1   82    12.513   0.387E-02      0.00   6.1
   -1   83    12.340   0.389E-02      0.00   6.1
   -1   84    12.165   0.391E-02      0.00   6.1
   -1   85    11.992   0.393E-02      0.00   6.1
   -1   86    11.813   0.395E-02      0.00   6.1
   -1   87    11.639   0.397E-02      0.00   6.1
   -1   88    11.468   0.398E-02      0.00   6.1
   -1   89    11.299   0.398E-02      0.00   6.1
   -1   90    11.124   0.399E-02      0.00   6.1
   -1    1    27.521   0.128E-03      0.00   5.1
   -1    2    26.965   0.316E-03      0.00   5.1
   -1    3    26.395   0.613E-03      0.00   5.1
   -1    4    25.836   0.993E-03      0.00   5.1
   -1    5    25.274   0.146E-02      0.00   5.1
   -1    6    24.715   0.195E-02      0.00   5.1
   -1    7    24.160   0.240E-02      0.00   5.1
   -1    8    23.600   0.280E-02      0.00   5.1
   -1    9    23.038   0.317E-02      0.00   5.1
   -1   10    22.477   0.353E-02      0.00   5.1
   -1   11    21.915   0.386E-02      0.00   5.1
   -1   12    21.351   0.416E-02      0.00   5.1
   -1   13    20.782   0.443E-02      0.00   5.1
   -1   14    20.213   0.468E-02      0.00   5.1
   -1   15    19.644   0.489E-02      0.00   5.1
   -1   16    19.073   0.508E-02      0.00   5.1
   -1   17    18.501   0.524E-02      0.00   5.1
   -1   18    17.926   0.538E-02      0.00   5.1
   -1   19    17.346   0.547E-02      0.00   5.1
   -1   20    16.767   0.553E-02      0.00   5.1
   -1    1    27.904   0.263E-03      0.00   4.1
   -1    2    27.704   0.581E-03      0.00   4.1
   -1    3    27.476   0.104E-02      0.00   4.1
   -1    4    27.250   0.152E-02      0.00   4.1
   -1    5    27.025   0.202E-02      0.00   4.1
   -1    6    26.794   0.256E-02      0.00   4.1
   -1    7    26.572   0.317E-02      0.00   4.1
   -1    8    26.349   0.389E-02      0.00   4.1
   -1    9    26.128   0.468E-02      0.00   4.1
   -1   10    25.907   0.550E-02      0.00   4.1
   -1   11    25.684   0.627E-02      0.00   4.1
   -1   12    25.465   0.696E-02      0.00   4.1
   -1   13    25.246   0.757E-02      0.00   4.1
   -1   14    25.028   0.812E-02      0.00   4.1
   -1   15    24.810   0.866E-02      0.00   4.1
   -1   16    24.587   0.920E-02      0.00   4.1
   -1   17    24.371   0.974E-02      0.00   4.1
   -1   18    24.157   0.102E-01      0.00   4.1
   -1   19    23.941   0.106E-01      0.00   4.1
   -1   20    23.725   0.109E-01      0.00   4.1
   -1    1    24.521   0.983E-04      0.00   7.1
   -1    2    23.720   0.225E-03      0.00   7.1
   -1    3    23.084   0.404E-03      0.00   7.1
   -1    4    22.320   0.613E-03      0.00   7.1
   -1    5    21.510   0.861E-03      0.00   7.1
   -1    6    20.667   0.113E-02      0.00   7.1
   -1    7    19.818   0.137E-02      0.00   7.1
   -1    8    18.955   0.159E-02      0.00   7.1
   -1    9    18.089   0.178E-02      0.00   7.1
   -1   10    17.255   0.193E-02      0.00   7.1
   -1   11    16.329   0.206E-02      0.00   7.1
   -1   12    15.382   0.218E-02      0.00   7.1
   -1   13    14.436   0.229E-02      0.00   7.1
   -1   14    13.502   0.236E-02      0.00   7.1
   -1   15    12.541   0.240E-02      0.00   7.1
   -1   16    11.541   0.245E-02      0.00   7.1
   -1   17    10.619   0.253E-02      0.00   7.1
   -1   18     9.707   0.261E-02      0.00   7.1
   -1   19     8.813   0.267E-02      0.00   7.1
   -1   20     7.904   0.270E-02      0.00   7.1
   -1    1     5.006   0.193E-02    135.56   8.2
   -1    2     6.029   0.233E-02    134.96   8.2
   -1    3     7.638   0.294E-02    133.29   8.2
   -1    4     8.750   0.441E-02    -91.93   8.2
   -1    5     6.635   0.368E-02    136.61   8.2
   -1    6     8.145   0.628E-02    -51.49   8.2
   -1    8    11.077   0.635E-02    113.91   8.2
   -1   10    13.376   0.594E-02     87.35   8.2
   -1   11    16.876   0.644E-02     42.47   8.2
   -1   12    15.157   0.502E-02     33.15   8.2
   -1   13    18.839   0.297E-02      0.00   8.2
