
dc between calculated and observed response: -429.618 mgal


 distance    obs   calc grav anom  diff
   226.737    31.282    19.454   -11.828
   227.737    32.428    20.356   -12.072
   228.737    33.594    21.255   -12.339
   229.736    34.779    22.153   -12.627
   230.736    35.985    23.051   -12.934
   231.736    37.210    23.949   -13.261
   232.735    38.454    24.843   -13.611
   233.735    39.719    25.736   -13.983
   234.734    41.003    26.629   -14.374
   235.734    42.307    27.522   -14.785
   236.734    43.631    28.407   -15.224
   237.733    45.024    29.288   -15.736
   238.733    46.461    30.170   -16.291
   239.733    47.846    31.051   -16.795
   240.732    49.241    31.920   -17.321
   241.732    50.646    32.784   -17.862
   242.731    52.061    33.648   -18.413
   243.731    53.486    34.512   -18.974
   244.731    54.921    35.344   -19.577
   245.730    56.366    36.165   -20.202
   246.730    57.821    36.985   -20.836
   247.729    59.286    37.806   -21.481

maximum difference:     29.046 mgal

