
dc between calculated and observed response: -429.618 mgal


 distance    obs   calc grav anom  diff
  -307.699    -5.694    -6.623    -0.928
  -306.703    -5.853    -6.726    -0.872
  -305.708    -6.014    -6.829    -0.816
  -304.713    -6.175    -6.932    -0.757
  -303.717    -6.337    -7.036    -0.699
  -302.722    -6.485    -7.143    -0.658
  -301.727    -6.621    -7.250    -0.629
  -300.731    -6.752    -7.356    -0.604
  -299.736    -6.879    -7.458    -0.579
  -298.740    -7.001    -7.544    -0.544
  -297.745    -7.069    -7.631    -0.562
  -296.750    -7.072    -7.717    -0.646
  -295.754    -7.071    -7.789    -0.719
  -294.759    -7.065    -7.816    -0.751
  -293.764    -7.056    -7.843    -0.788
  -292.768    -7.042    -7.870    -0.828
  -291.773    -7.024    -7.892    -0.868
  -290.778    -7.001    -7.894    -0.893
  -289.782    -6.975    -7.897    -0.922
  -288.787    -6.944    -7.899    -0.955
  -287.792    -6.909    -7.902    -0.993
  -286.796    -6.881    -7.903    -1.022
  -285.801    -6.880    -7.904    -1.024
  -284.806    -6.879    -7.906    -1.027
  -283.810    -6.877    -7.907    -1.030
  -282.815    -6.874    -7.906    -1.032
  -281.820    -6.871    -7.905    -1.035
  -280.822    -6.860    -7.904    -1.044
  -279.824    -6.819    -7.904    -1.084
  -278.827    -6.770    -7.904    -1.134
  -277.829    -6.718    -7.905    -1.187
  -276.831    -6.664    -7.906    -1.242
  -275.834    -6.606    -7.908    -1.302
  -274.836    -6.593    -7.916    -1.323
  -273.838    -6.582    -7.924    -1.342
  -272.840    -6.570    -7.932    -1.362
  -271.843    -6.557    -7.939    -1.382
  -270.845    -6.543    -7.945    -1.401
  -269.847    -6.529    -7.951    -1.422
  -268.850    -6.513    -7.956    -1.443
  -267.852    -6.497    -7.957    -1.460
  -266.854    -6.480    -7.931    -1.451
  -265.857    -6.462    -7.905    -1.443
  -264.859    -6.443    -7.878    -1.436
  -263.861    -6.389    -7.843    -1.454
  -262.864    -6.300    -7.751    -1.451
  -261.866    -6.215    -7.660    -1.444
  -260.868    -6.134    -7.568    -1.434
  -259.871    -6.058    -7.468    -1.410
  -258.873    -5.992    -7.312    -1.320
